config01:Button00:Measurement Value,Reference Value,Threshold,R_THr,Touch ON/OFF Difference,Hysteresis,Status,MEDIAN_9,Average_4,IIR_8,,IIR_16
45898,45912,800,46712,-14,10,0,45915,45942,45907,,45908
45930,45912,800,46712,18,10,0,45917,45931,45909,,45908
45861,45912,800,46712,-51,10,0,45917,45900,45903,,45906
45880,45912,800,46712,-32,10,0,45917,45892,45900,,45901
45897,45912,800,46712,-15,10,0,45911,45892,45899,,45899
45939,45912,800,46712,27,10,0,45911,45894,45904,,45901
45897,45912,800,46712,-15,10,0,45898,45903,45903,,45903
45942,45912,800,46712,30,10,0,45898,45918,45907,,45905
45966,45912,800,46712,54,10,0,45898,45936,45914,,45910
45948,45912,800,46712,36,10,0,45930,45938,45918,,45916
45948,45912,800,46712,36,10,0,45939,45951,45921,,45919
45991,45912,800,46712,79,10,0,45942,45963,45929,,45925
45897,45912,800,46712,-15,10,0,45942,45946,45925,,45927
45837,45912,800,46712,-75,10,0,45942,45918,45914,,45919
45858,45912,800,46712,-54,10,0,45942,45895,45907,,45910
45852,45912,800,46712,-60,10,0,45942,45861,45900,,45903
45898,45912,800,46712,-14,10,0,45898,45861,45899,,45899
45949,45912,800,46712,37,10,0,45898,45889,45905,,45902
45962,45912,800,46712,50,10,0,45898,45915,45912,,45908
45902,45912,800,46712,-10,10,0,45898,45927,45910,,45911
45891,45912,800,46712,-21,10,0,45897,45926,45907,,45908
