2024-04-16T17:44:37
Configurations(Methods):
Name,Touch Interfaces
config01,"Button00, TS05"
config02,"Slider00, TS15, TS14, TS13, TS12, TS01"
Logs:
"config01:Button00:Measurement Value",Baseline,Threshold,Touch ON/OFF Difference,Hysteresis,Status,"config02:Slider00:Status",Threshold,Resolution,TS15:Measurement Value,TS14:Measurement Value,TS13:Measurement Value,TS12:Measurement Value,TS01:Measurement Value
46238,46165,800,73,10,0,-,-,-,-,-,-,-,-
46237,46165,800,72,10,0,-,-,-,-,-,-,-,-
46222,46165,800,57,10,0,-,-,-,-,-,-,-,-
46211,46165,800,46,10,0,-,-,-,-,-,-,-,-
46208,46165,800,43,10,0,-,-,-,-,-,-,-,-
46202,46165,800,37,10,0,-,-,-,-,-,-,-,-
46220,46165,800,55,10,0,-,-,-,-,-,-,-,-
46238,46165,800,73,10,0,-,-,-,-,-,-,-,-
46245,46165,800,80,10,0,-,-,-,-,-,-,-,-
46191,46165,800,26,10,0,-,-,-,-,-,-,-,-
46192,46165,800,27,10,0,-,-,-,-,-,-,-,-
46172,46165,800,7,10,0,-,-,-,-,-,-,-,-
46173,46165,800,8,10,0,-,-,-,-,-,-,-,-
46195,46165,800,30,10,0,-,-,-,-,-,-,-,-
46215,46165,800,50,10,0,-,-,-,-,-,-,-,-
46203,46165,800,38,10,0,-,-,-,-,-,-,-,-
46205,46165,800,40,10,0,-,-,-,-,-,-,-,-
46272,46165,800,107,10,0,-,-,-,-,-,-,-,-
46259,46165,800,94,10,0,-,-,-,-,-,-,-,-
46249,46165,800,84,10,0,-,-,-,-,-,-,-,-
46217,46165,800,52,10,0,-,-,-,-,-,-,-,-
46226,46165,800,61,10,0,-,-,-,-,-,-,-,-
46203,46165,800,38,10,0,-,-,-,-,-,-,-,-
46192,46165,800,27,10,0,-,-,-,-,-,-,-,-
46158,46165,800,-7,10,0,-,-,-,-,-,-,-,-
46173,46165,800,8,10,0,-,-,-,-,-,-,-,-
46144,46165,800,-21,10,0,-,-,-,-,-,-,-,-
46138,46165,800,-27,10,0,-,-,-,-,-,-,-,-
46163,46165,800,-2,10,0,-,-,-,-,-,-,-,-
46150,46165,800,-15,10,0,-,-,-,-,-,-,-,-
46172,46165,800,7,10,0,-,-,-,-,-,-,-,-
46157,46165,800,-8,10,0,-,-,-,-,-,-,-,-
46146,46165,800,-19,10,0,-,-,-,-,-,-,-,-
46145,46165,800,-20,10,0,-,-,-,-,-,-,-,-
46155,46165,800,-10,10,0,-,-,-,-,-,-,-,-
46167,46165,800,2,10,0,-,-,-,-,-,-,-,-
46185,46165,800,20,10,0,-,-,-,-,-,-,-,-
46185,46165,800,20,10,0,-,-,-,-,-,-,-,-
46186,46165,800,21,10,0,-,-,-,-,-,-,-,-
46208,46165,800,43,10,0,-,-,-,-,-,-,-,-
46213,46165,800,48,10,0,-,-,-,-,-,-,-,-
46199,46165,800,34,10,0,-,-,-,-,-,-,-,-
46189,46165,800,24,10,0,-,-,-,-,-,-,-,-
46177,46165,800,12,10,0,-,-,-,-,-,-,-,-
46160,46165,800,-5,10,0,-,-,-,-,-,-,-,-
46175,46165,800,10,10,0,-,-,-,-,-,-,-,-
46189,46165,800,24,10,0,-,-,-,-,-,-,-,-
46191,46165,800,26,10,0,-,-,-,-,-,-,-,-
46183,46165,800,18,10,0,-,-,-,-,-,-,-,-
46211,46165,800,46,10,0,-,-,-,-,-,-,-,-
46201,46165,800,36,10,0,-,-,-,-,-,-,-,-
46203,46165,800,38,10,0,-,-,-,-,-,-,-,-
46207,46165,800,42,10,0,-,-,-,-,-,-,-,-
46203,46165,800,38,10,0,-,-,-,-,-,-,-,-
46180,46165,800,15,10,0,-,-,-,-,-,-,-,-
46151,46165,800,-14,10,0,-,-,-,-,-,-,-,-
46138,46165,800,-27,10,0,-,-,-,-,-,-,-,-
46137,46165,800,-28,10,0,-,-,-,-,-,-,-,-
46118,46165,800,-47,10,0,-,-,-,-,-,-,-,-
46123,46165,800,-42,10,0,-,-,-,-,-,-,-,-
